Season,isOverSnow_CLMCOM-CCLM4-ECEARTH-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-ECEARTH-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-HADGEM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR11-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR11-RCP85-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR44-RCP45-pcp,isOverSnow_CLMCOM-CCLM4-MPIESM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-ECEARTH-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-HADGEM-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-MIROC-EUR44-RCP85-pcp,isOverSnow_CLMCOM-CCLM5-MPIESM-EUR44-RCP85-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP26-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP45-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR11-RCP85-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR44-RCP45-pcp,isOverSnow_DMI-HIRHAM-ECEARTH-EUR44-RCP85-pcp,isOverSnow_ICTP-REGCM-HADGEM-EUR44-RCP85-pcp,isOverSnow_KNMI-RACMO-ECEARTH-EUR44-RCP45-pcp,isOverSnow_KNMI-RACMO-ECEARTH-EUR44-RCP85-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP26-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP45-pcp,isOverSnow_KNMI-RACMO-HADGEM-EUR44-RCP85-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP26-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP45-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR11-RCP85-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP26-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP45-pcp,isOverSnow_MPICSC-REMO1-MPIESM-EUR44-RCP85-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP26-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP45-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR11-RCP85-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP26-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP45-pcp,isOverSnow_MPICSC-REMO2-MPIESM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-CCCMA-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-CCCMA-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-CSIRO-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-CSIRO-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP26-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-ECEARTH-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-GFDL-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-GFDL-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-HADGEM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-IPSL-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-IPSL-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-IPSL-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-IPSL-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-MIROC-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR11-RCP45-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR11-RCP85-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-MPIESM-EUR44-RCP85-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP26-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP45-pcp,isOverSnow_SMHI-RCA-NORESM-EUR44-RCP85-pcp
1981-1982,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,44.0,54.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,92.0,93.0,59.0,30.0,59.0,33.0,36.0,34.0,0.0,9.0,0.0,37.0,32.0,36.0,29.0,13.0,23.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,33.0,31.0,34.0,0.0,0.0,0.0,0.0,29.0,13.0,25.0,76.0,78.0,48.0,50.0,77.0,77.0,77.0,9.0,9.0,0.0,0.0,0.0,82.0,68.0,74.0
1982-1983,109.0,109.0,107.0,107.0,98.0,47.0,47.0,18.0,18.0,88.0,110.0,22.0,44.0,134.0,134.0,134.0,99.0,99.0,131.0,64.0,64.0,116.0,113.0,115.0,63.0,63.0,63.0,29.0,35.0,26.0,103.0,99.0,103.0,0.0,0.0,0.0,22.0,25.0,47.0,46.0,110.0,110.0,110.0,110.0,110.0,111.0,79.0,79.0,150.0,147.0,120.0,114.0,116.0,45.0,40.0,29.0,28.0,0.0,0.0,0.0,50.0,50.0,64.0,65.0,65.0,0.0,0.0,0.0
1983-1984,32.0,31.0,62.0,61.0,73.0,65.0,66.0,121.0,121.0,20.0,78.0,46.0,91.0,45.0,44.0,44.0,80.0,80.0,79.0,102.0,103.0,84.0,79.0,79.0,146.0,146.0,146.0,123.0,134.0,134.0,47.0,43.0,47.0,0.0,0.0,0.0,91.0,91.0,123.0,123.0,89.0,91.0,91.0,16.0,16.0,19.0,0.0,0.0,83.0,83.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,106.0,112.0,112.0,90.0,91.0,130.0,136.0,137.0,40.0,33.0,32.0
1984-1985,137.0,137.0,0.0,0.0,20.0,78.0,78.0,0.0,0.0,141.0,25.0,102.0,33.0,106.0,106.0,106.0,27.0,14.0,40.0,7.0,13.0,57.0,54.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,72.0,75.0,60.0,40.0,51.0,105.0,105.0,6.0,12.0,71.0,74.0,71.0,16.0,17.0,18.0,68.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,56.0,59.0,30.0,32.0,47.0,37.0,27.0,0.0,0.0,0.0,70.0,70.0,70.0
1985-1986,0.0,0.0,98.0,97.0,118.0,4.0,4.0,45.0,45.0,0.0,103.0,76.0,52.0,108.0,98.0,108.0,92.0,91.0,107.0,77.0,80.0,115.0,107.0,109.0,93.0,93.0,93.0,92.0,92.0,92.0,87.0,84.0,84.0,83.0,81.0,83.0,0.0,0.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,74.0,96.0,96.0,100.0,100.0,100.0,155.0,155.0,90.0,91.0,0.0,0.0,0.0,92.0,93.0,0.0,0.0,0.0,70.0,69.0,69.0
1986-1987,26.0,43.0,129.0,129.0,102.0,50.0,49.0,0.0,0.0,17.0,117.0,126.0,0.0,80.0,41.0,47.0,21.0,21.0,0.0,45.0,45.0,70.0,56.0,56.0,94.0,93.0,81.0,28.0,29.0,29.0,37.0,34.0,37.0,17.0,0.0,2.0,60.0,61.0,93.0,103.0,21.0,22.0,21.0,25.0,44.0,44.0,73.0,66.0,125.0,124.0,112.0,112.0,111.0,0.0,0.0,24.0,17.0,141.0,143.0,143.0,21.0,21.0,22.0,23.0,22.0,11.0,0.0,2.0
1987-1988,52.0,52.0,83.0,89.0,74.0,121.0,121.0,119.0,119.0,94.0,66.0,69.0,119.0,82.0,70.0,82.0,28.0,24.0,112.0,119.0,118.0,102.0,98.0,97.0,123.0,122.0,123.0,124.0,125.0,125.0,71.0,71.0,71.0,57.0,45.0,54.0,62.0,64.0,106.0,106.0,96.0,99.0,97.0,42.0,52.0,52.0,44.0,44.0,56.0,56.0,42.0,40.0,41.0,0.0,0.0,0.0,0.0,76.0,76.0,79.0,122.0,122.0,112.0,112.0,113.0,0.0,0.0,0.0
1988-1989,0.0,0.0,90.0,91.0,92.0,10.0,12.0,75.0,78.0,44.0,87.0,85.0,64.0,64.0,64.0,64.0,0.0,0.0,87.0,102.0,102.0,87.0,61.0,87.0,113.0,113.0,113.0,0.0,0.0,0.0,67.0,65.0,66.0,61.0,60.0,60.0,0.0,0.0,73.0,73.0,48.0,49.0,48.0,28.0,29.0,29.0,18.0,4.0,89.0,88.0,25.0,0.0,22.0,47.0,53.0,49.0,49.0,86.0,86.0,86.0,88.0,98.0,0.0,2.0,0.0,15.0,0.0,11.0
1989-1990,77.0,77.0,55.0,66.0,61.0,69.0,70.0,89.0,86.0,96.0,75.0,86.0,81.0,98.0,98.0,98.0,87.0,86.0,73.0,73.0,74.0,77.0,77.0,77.0,90.0,90.0,91.0,97.0,98.0,98.0,117.0,94.0,100.0,92.0,88.0,91.0,132.0,132.0,16.0,26.0,86.0,115.0,103.0,30.0,58.0,64.0,27.0,20.0,67.0,67.0,67.0,67.0,67.0,102.0,102.0,93.0,93.0,0.0,1.0,0.0,77.0,78.0,93.0,98.0,98.0,65.0,65.0,65.0
1990-1991,31.0,28.0,0.0,0.0,33.0,45.0,45.0,93.0,94.0,10.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,32.0,7.0,33.0,99.0,99.0,100.0,107.0,107.0,106.0,40.0,23.0,34.0,29.0,18.0,27.0,62.0,63.0,51.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,38.0,38.0,49.0,56.0,0.0,0.0,0.0,0.0,0.0,87.0,88.0,42.0,44.0,44.0,66.0,58.0,65.0
