Season,isOverSnow_sc_26_1,isOverSnow_sc_26_2,isOverSnow_sc_26_3,isOverSnow_sc_26_4,isOverSnow_sc_26_5,isOverSnow_sc_26_6,isOverSnow_sc_26_7,isOverSnow_sc_26_8,isOverSnow_sc_26_9,isOverSnow_sc_26_10,isOverSnow_sc_26_11,isOverSnow_sc_26_12,isOverSnow_sc_45_1,isOverSnow_sc_45_2,isOverSnow_sc_45_3,isOverSnow_sc_45_4,isOverSnow_sc_45_5,isOverSnow_sc_45_6,isOverSnow_sc_45_7,isOverSnow_sc_45_8,isOverSnow_sc_45_9,isOverSnow_sc_45_10,isOverSnow_sc_45_11,isOverSnow_sc_45_12,isOverSnow_sc_45_13,isOverSnow_sc_45_14,isOverSnow_sc_45_15,isOverSnow_sc_45_16,isOverSnow_sc_45_17,isOverSnow_sc_45_18,isOverSnow_sc_45_19,isOverSnow_sc_45_20,isOverSnow_sc_45_21,isOverSnow_sc_45_22,isOverSnow_sc_45_23,isOverSnow_sc_45_24,isOverSnow_sc_45_25,isOverSnow_sc_85_1,isOverSnow_sc_85_2,isOverSnow_sc_85_3,isOverSnow_sc_85_4,isOverSnow_sc_85_5,isOverSnow_sc_85_6,isOverSnow_sc_85_7,isOverSnow_sc_85_8,isOverSnow_sc_85_9,isOverSnow_sc_85_10,isOverSnow_sc_85_11,isOverSnow_sc_85_12,isOverSnow_sc_85_13,isOverSnow_sc_85_14,isOverSnow_sc_85_15,isOverSnow_sc_85_16,isOverSnow_sc_85_17,isOverSnow_sc_85_18,isOverSnow_sc_85_19,isOverSnow_sc_85_20,isOverSnow_sc_85_21,isOverSnow_sc_85_22,isOverSnow_sc_85_23,isOverSnow_sc_85_24,isOverSnow_sc_85_25,isOverSnow_sc_85_26,isOverSnow_sc_85_27,isOverSnow_sc_85_28,isOverSnow_sc_85_29,isOverSnow_sc_85_30,isOverSnow_sc_85_31
1981-1982,71.0,0.0,6.0,26.0,0.0,77.0,0.0,80.0,17.0,41.0,113.0,0.0,56.0,19.0,0.0,34.0,0.0,38.0,35.0,61.0,39.0,39.0,0.0,29.0,0.0,97.0,15.0,43.0,57.0,0.0,10.0,50.0,63.0,106.0,0.0,82.0,58.0,17.0,47.0,76.0,0.0,59.0,82.0,73.0,0.0,86.0,0.0,0.0,51.0,62.0,31.0,0.0,10.0,0.0,98.0,51.0,63.0,69.0,117.0,87.0,0.0,0.0,39.0,0.0,111.0,61.0,0.0,6.0
1982-1983,121.0,48.0,130.0,65.0,138.0,58.0,24.0,44.0,48.0,77.0,64.0,66.0,64.0,0.0,78.0,88.0,107.0,72.0,91.0,95.0,121.0,126.0,103.0,8.0,134.0,133.0,98.0,81.0,0.0,84.0,57.0,69.0,0.0,23.0,64.0,53.0,55.0,15.0,5.0,71.0,0.0,133.0,79.0,95.0,148.0,14.0,95.0,73.0,0.0,0.0,134.0,102.0,53.0,62.0,55.0,55.0,57.0,0.0,132.0,82.0,105.0,110.0,71.0,150.0,52.0,119.0,0.0,80.0
1983-1984,130.0,48.0,32.0,77.0,135.0,0.0,73.0,92.0,0.0,137.0,78.0,0.0,104.0,28.0,58.0,0.0,39.0,110.0,146.0,88.0,50.0,120.0,60.0,85.0,121.0,70.0,0.0,27.0,83.0,116.0,58.0,108.0,71.0,60.0,123.0,120.0,0.0,15.0,0.0,123.0,0.0,80.0,67.0,47.0,14.0,87.0,104.0,102.0,85.0,31.0,94.0,76.0,121.0,146.0,68.0,47.0,130.0,52.0,85.0,82.0,109.0,65.0,99.0,105.0,5.0,104.0,109.0,73.0
1984-1985,124.0,62.0,29.0,44.0,78.0,86.0,36.0,14.0,100.0,0.0,47.0,80.0,114.0,82.0,29.0,125.0,60.0,28.0,138.0,47.0,107.0,31.0,70.0,44.0,95.0,86.0,45.0,110.0,74.0,62.0,4.0,75.0,109.0,94.0,0.0,78.0,75.0,89.0,36.0,95.0,91.0,79.0,72.0,78.0,102.0,84.0,70.0,35.0,85.0,53.0,48.0,85.0,43.0,33.0,137.0,111.0,100.0,107.0,51.0,62.0,79.0,45.0,52.0,100.0,115.0,30.0,19.0,75.0
1985-1986,9.0,68.0,56.0,0.0,57.0,33.0,79.0,63.0,64.0,71.0,55.0,0.0,94.0,81.0,26.0,93.0,81.0,46.0,65.0,8.0,0.0,0.0,26.0,80.0,66.0,0.0,84.0,7.0,34.0,55.0,59.0,48.0,0.0,81.0,82.0,69.0,82.0,24.0,97.0,41.0,61.0,11.0,66.0,80.0,55.0,0.0,64.0,65.0,90.0,0.0,48.0,0.0,98.0,46.0,85.0,31.0,82.0,20.0,80.0,0.0,0.0,43.0,0.0,88.0,54.0,94.0,94.0,54.0
1986-1987,21.0,15.0,60.0,12.0,108.0,35.0,81.0,20.0,94.0,50.0,42.0,0.0,24.0,19.0,0.0,0.0,124.0,38.0,18.0,108.0,25.0,13.0,0.0,104.0,78.0,51.0,31.0,56.0,44.0,32.0,46.0,59.0,42.0,32.0,91.0,59.0,14.0,75.0,28.0,46.0,51.0,18.0,2.0,101.0,0.0,38.0,18.0,25.0,0.0,38.0,40.0,46.0,50.0,80.0,0.0,17.0,75.0,39.0,78.0,14.0,22.0,59.0,42.0,132.0,39.0,38.0,46.0,51.0
1987-1988,59.0,122.0,20.0,61.0,66.0,111.0,52.0,86.0,0.0,21.0,86.0,83.0,82.0,4.0,0.0,70.0,65.0,0.0,53.0,71.0,22.0,109.0,74.0,44.0,76.0,44.0,95.0,84.0,110.0,86.0,86.0,0.0,115.0,74.0,34.0,58.0,48.0,57.0,78.0,112.0,0.0,43.0,0.0,93.0,99.0,74.0,102.0,105.0,25.0,81.0,28.0,87.0,41.0,83.0,42.0,123.0,38.0,47.0,84.0,62.0,70.0,53.0,0.0,70.0,58.0,74.0,122.0,28.0
1988-1989,61.0,58.0,10.0,34.0,55.0,85.0,57.0,15.0,50.0,62.0,17.0,26.0,30.0,28.0,29.0,20.0,34.0,15.0,34.0,52.0,29.0,49.0,64.0,26.0,52.0,78.0,41.0,81.0,18.0,36.0,110.0,61.0,61.0,103.0,54.0,32.0,37.0,59.0,0.0,70.0,81.0,25.0,53.0,61.0,47.0,62.0,78.0,35.0,7.0,46.0,0.0,39.0,41.0,20.0,28.0,102.0,55.0,40.0,26.0,53.0,26.0,49.0,60.0,0.0,84.0,26.0,59.0,29.0
1989-1990,28.0,58.0,63.0,54.0,9.0,39.0,20.0,11.0,14.0,41.0,78.0,44.0,25.0,0.0,72.0,50.0,32.0,16.0,50.0,46.0,9.0,82.0,39.0,29.0,8.0,18.0,35.0,0.0,30.0,23.0,0.0,0.0,41.0,54.0,77.0,42.0,32.0,44.0,10.0,11.0,36.0,48.0,20.0,6.0,15.0,28.0,57.0,50.0,91.0,79.0,62.0,44.0,0.0,31.0,38.0,0.0,34.0,40.0,5.0,24.0,30.0,9.0,0.0,66.0,44.0,62.0,54.0,36.0
1990-1991,0.0,0.0,0.0,17.0,0.0,9.0,0.0,0.0,13.0,41.0,27.0,0.0,2.0,6.0,0.0,0.0,13.0,0.0,12.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,35.0,0.0,9.0,45.0,41.0,31.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,7.0,0.0,2.0,0.0,12.0,4.0,13.0,0.0,45.0,1.0,5.0,9.0,9.0,41.0,42.0,0.0,6.0,0.0
1991-1992,0.0,31.0,33.0,21.0,29.0,0.0,51.0,2.0,21.0,33.0,0.0,34.0,23.0,40.0,36.0,18.0,28.0,33.0,32.0,42.0,33.0,31.0,37.0,17.0,37.0,0.0,42.0,0.0,0.0,29.0,58.0,34.0,32.0,49.0,1.0,0.0,0.0,0.0,21.0,46.0,31.0,58.0,36.0,32.0,0.0,0.0,47.0,0.0,29.0,49.0,38.0,32.0,18.0,25.0,23.0,25.0,50.0,23.0,23.0,17.0,0.0,0.0,36.0,13.0,37.0,32.0,28.0,32.0
1992-1993,0.0,35.0,20.0,0.0,9.0,30.0,5.0,0.0,5.0,5.0,22.0,0.0,8.0,0.0,22.0,62.0,3.0,22.0,0.0,19.0,0.0,33.0,4.0,0.0,0.0,5.0,35.0,2.0,0.0,0.0,11.0,31.0,33.0,0.0,29.0,31.0,3.0,33.0,3.0,48.0,0.0,0.0,13.0,19.0,13.0,0.0,42.0,12.0,0.0,0.0,21.0,42.0,0.0,0.0,32.0,35.0,36.0,70.0,0.0,2.0,0.0,47.0,0.0,30.0,21.0,0.0,30.0,0.0
1993-1994,14.0,6.0,6.0,0.0,0.0,27.0,6.0,0.0,1.0,15.0,0.0,1.0,0.0,16.0,1.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,13.0,1.0,6.0,4.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,0.0,0.0,0.0,1.0
1994-1995,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-1996,0.0,0.0,1.0,0.0,0.0,0.0,36.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0,0.0,0.0,0.0,0.0
1996-1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-2002,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,14.0,10.0,27.0,0.0,0.0,17.0,18.0,16.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,8.0,6.0,15.0,5.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,34.0,5.0,0.0,0.0,18.0,7.0,0.0,6.0,8.0,13.0,9.0,23.0,1.0,0.0,0.0,8.0,30.0,16.0,0.0,1.0,15.0,5.0,0.0,0.0,4.0,0.0,23.0,8.0,0.0,0.0,9.0,1.0
2002-2003,0.0,4.0,20.0,9.0,0.0,20.0,33.0,38.0,5.0,6.0,9.0,18.0,13.0,7.0,22.0,0.0,1.0,14.0,27.0,16.0,16.0,18.0,0.0,18.0,16.0,22.0,5.0,0.0,0.0,0.0,7.0,16.0,9.0,1.0,0.0,7.0,0.0,19.0,28.0,14.0,8.0,12.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,24.0,10.0,20.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,18.0,11.0,23.0,12.0,0.0,9.0,3.0,26.0
2003-2004,11.0,34.0,8.0,0.0,26.0,2.0,0.0,0.0,0.0,7.0,27.0,4.0,0.0,22.0,23.0,5.0,0.0,8.0,0.0,11.0,21.0,7.0,0.0,9.0,1.0,0.0,0.0,16.0,1.0,6.0,0.0,0.0,21.0,56.0,5.0,7.0,3.0,0.0,3.0,8.0,28.0,0.0,29.0,23.0,28.0,0.0,0.0,0.0,0.0,22.0,9.0,0.0,5.0,0.0,33.0,7.0,19.0,22.0,0.0,11.0,0.0,16.0,0.0,27.0,24.0,0.0,0.0,20.0
2004-2005,27.0,13.0,2.0,3.0,0.0,7.0,15.0,19.0,0.0,19.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,0.0,0.0,0.0,2.0,0.0,16.0,22.0,0.0,0.0,29.0,26.0,0.0,0.0,29.0,0.0,17.0,23.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,45.0,0.0,9.0,43.0,31.0,0.0,1.0,17.0,0.0,0.0,20.0,0.0,3.0,0.0,23.0
2005-2006,0.0,8.0,53.0,18.0,47.0,49.0,25.0,37.0,12.0,32.0,45.0,26.0,27.0,27.0,29.0,0.0,0.0,53.0,27.0,23.0,17.0,32.0,51.0,33.0,40.0,53.0,0.0,16.0,52.0,9.0,41.0,28.0,24.0,29.0,30.0,37.0,9.0,44.0,25.0,27.0,55.0,33.0,19.0,57.0,2.0,11.0,30.0,22.0,35.0,34.0,0.0,6.0,48.0,27.0,50.0,38.0,61.0,44.0,56.0,13.0,48.0,25.0,7.0,16.0,24.0,43.0,0.0,30.0
2006-2007,40.0,72.0,13.0,36.0,0.0,53.0,57.0,12.0,0.0,38.0,43.0,31.0,46.0,3.0,38.0,17.0,0.0,34.0,12.0,56.0,16.0,40.0,14.0,37.0,49.0,49.0,30.0,38.0,0.0,38.0,44.0,19.0,28.0,54.0,10.0,17.0,3.0,5.0,0.0,50.0,48.0,49.0,43.0,22.0,47.0,36.0,34.0,56.0,46.0,30.0,47.0,32.0,0.0,29.0,38.0,36.0,33.0,8.0,34.0,56.0,66.0,27.0,0.0,26.0,37.0,61.0,36.0,0.0
2007-2008,37.0,49.0,26.0,45.0,22.0,56.0,39.0,52.0,17.0,51.0,9.0,11.0,45.0,51.0,65.0,0.0,21.0,28.0,58.0,0.0,47.0,0.0,23.0,3.0,13.0,15.0,38.0,1.0,26.0,19.0,51.0,37.0,46.0,36.0,0.0,30.0,38.0,48.0,55.0,53.0,62.0,8.0,0.0,42.0,61.0,41.0,44.0,22.0,0.0,64.0,0.0,55.0,23.0,32.0,51.0,0.0,56.0,12.0,34.0,28.0,17.0,44.0,57.0,0.0,48.0,0.0,43.0,56.0
2008-2009,33.0,25.0,28.0,44.0,18.0,15.0,33.0,63.0,46.0,38.0,82.0,16.0,28.0,16.0,72.0,36.0,34.0,24.0,32.0,18.0,54.0,44.0,21.0,31.0,18.0,21.0,11.0,32.0,38.0,30.0,28.0,32.0,31.0,0.0,6.0,0.0,20.0,14.0,27.0,41.0,32.0,59.0,38.0,22.0,42.0,49.0,24.0,28.0,19.0,0.0,43.0,5.0,4.0,40.0,29.0,2.0,40.0,27.0,55.0,26.0,45.0,0.0,45.0,18.0,49.0,29.0,16.0,30.0
