Season,isOverSnow_sc_26_1,isOverSnow_sc_26_2,isOverSnow_sc_26_3,isOverSnow_sc_26_4,isOverSnow_sc_26_5,isOverSnow_sc_26_6,isOverSnow_sc_26_7,isOverSnow_sc_26_8,isOverSnow_sc_26_9,isOverSnow_sc_26_10,isOverSnow_sc_26_11,isOverSnow_sc_26_12,isOverSnow_sc_45_1,isOverSnow_sc_45_2,isOverSnow_sc_45_3,isOverSnow_sc_45_4,isOverSnow_sc_45_5,isOverSnow_sc_45_6,isOverSnow_sc_45_7,isOverSnow_sc_45_8,isOverSnow_sc_45_9,isOverSnow_sc_45_10,isOverSnow_sc_45_11,isOverSnow_sc_45_12,isOverSnow_sc_45_13,isOverSnow_sc_45_14,isOverSnow_sc_45_15,isOverSnow_sc_45_16,isOverSnow_sc_45_17,isOverSnow_sc_45_18,isOverSnow_sc_45_19,isOverSnow_sc_45_20,isOverSnow_sc_45_21,isOverSnow_sc_45_22,isOverSnow_sc_45_23,isOverSnow_sc_45_24,isOverSnow_sc_45_25,isOverSnow_sc_85_1,isOverSnow_sc_85_2,isOverSnow_sc_85_3,isOverSnow_sc_85_4,isOverSnow_sc_85_5,isOverSnow_sc_85_6,isOverSnow_sc_85_7,isOverSnow_sc_85_8,isOverSnow_sc_85_9,isOverSnow_sc_85_10,isOverSnow_sc_85_11,isOverSnow_sc_85_12,isOverSnow_sc_85_13,isOverSnow_sc_85_14,isOverSnow_sc_85_15,isOverSnow_sc_85_16,isOverSnow_sc_85_17,isOverSnow_sc_85_18,isOverSnow_sc_85_19,isOverSnow_sc_85_20,isOverSnow_sc_85_21,isOverSnow_sc_85_22,isOverSnow_sc_85_23,isOverSnow_sc_85_24,isOverSnow_sc_85_25,isOverSnow_sc_85_26,isOverSnow_sc_85_27,isOverSnow_sc_85_28,isOverSnow_sc_85_29,isOverSnow_sc_85_30,isOverSnow_sc_85_31
1981-1982,82.0,0.0,54.0,42.0,2.0,81.0,89.0,4.0,78.0,0.0,8.0,39.0,0.0,39.0,0.0,96.0,0.0,71.0,82.0,0.0,56.0,0.0,5.0,0.0,1.0,53.0,0.0,100.0,0.0,0.0,21.0,38.0,0.0,56.0,2.0,81.0,50.0,33.0,30.0,96.0,0.0,0.0,0.0,77.0,0.0,26.0,9.0,12.0,13.0,12.0,0.0,0.0,5.0,73.0,70.0,68.0,0.0,53.0,59.0,5.0,0.0,59.0,50.0,72.0,44.0,36.0,35.0,47.0
1982-1983,0.0,128.0,122.0,63.0,0.0,62.0,88.0,73.0,133.0,58.0,77.0,131.0,84.0,120.0,15.0,0.0,28.0,55.0,0.0,59.0,42.0,86.0,41.0,86.0,127.0,133.0,0.0,11.0,122.0,73.0,104.0,64.0,152.0,8.0,0.0,98.0,123.0,85.0,10.0,95.0,69.0,21.0,46.0,71.0,81.0,136.0,131.0,51.0,57.0,22.0,71.0,16.0,105.0,136.0,114.0,99.0,90.0,0.0,63.0,0.0,0.0,0.0,134.0,24.0,48.0,0.0,48.0,127.0
1983-1984,19.0,121.0,69.0,146.0,69.0,115.0,48.0,130.0,42.0,88.0,0.0,0.0,4.0,7.0,93.0,70.0,65.0,96.0,48.0,47.0,134.0,70.0,109.0,140.0,101.0,0.0,123.0,0.0,10.0,110.0,111.0,109.0,46.0,49.0,107.0,0.0,27.0,41.0,66.0,50.0,67.0,0.0,76.0,46.0,65.0,40.0,74.0,0.0,51.0,110.0,47.0,103.0,78.0,130.0,86.0,80.0,126.0,0.0,69.0,77.0,138.0,38.0,146.0,92.0,65.0,81.0,111.0,103.0
1984-1985,81.0,81.0,22.0,77.0,0.0,77.0,106.0,37.0,61.0,38.0,73.0,82.0,80.0,96.0,141.0,74.0,0.0,38.0,57.0,33.0,41.0,20.0,101.0,62.0,0.0,76.0,65.0,14.0,22.0,74.0,43.0,69.0,33.0,106.0,78.0,64.0,85.0,103.0,116.0,102.0,77.0,73.0,98.0,96.0,28.0,141.0,49.0,2.0,109.0,35.0,88.0,34.0,52.0,38.0,60.0,0.0,49.0,39.0,38.0,52.0,102.0,137.0,0.0,38.0,29.0,69.0,60.0,69.0
1985-1986,60.0,9.0,0.0,54.0,33.0,0.0,51.0,52.0,55.0,0.0,39.0,41.0,0.0,65.0,45.0,79.0,57.0,34.0,38.0,42.0,0.0,9.0,48.0,0.0,55.0,30.0,45.0,12.0,52.0,0.0,0.0,0.0,23.0,35.0,0.0,63.0,54.0,63.0,81.0,82.0,0.0,61.0,0.0,50.0,35.0,0.0,64.0,0.0,0.0,29.0,43.0,52.0,47.0,46.0,82.0,40.0,54.0,0.0,44.0,0.0,58.0,50.0,24.0,0.0,0.0,43.0,55.0,8.0
1986-1987,1.0,56.0,0.0,41.0,81.0,44.0,16.0,31.0,0.0,29.0,9.0,0.0,39.0,0.0,43.0,75.0,0.0,0.0,55.0,27.0,41.0,18.0,0.0,22.0,95.0,0.0,50.0,0.0,37.0,0.0,8.0,41.0,0.0,58.0,0.0,120.0,23.0,81.0,0.0,76.0,0.0,89.0,12.0,41.0,55.0,27.0,39.0,0.0,0.0,0.0,0.0,24.0,29.0,104.0,28.0,40.0,56.0,24.0,17.0,30.0,58.0,0.0,22.0,0.0,39.0,0.0,14.0,0.0
1987-1988,40.0,36.0,74.0,70.0,70.0,55.0,83.0,61.0,13.0,10.0,95.0,34.0,52.0,70.0,18.0,59.0,86.0,0.0,32.0,23.0,122.0,65.0,27.0,0.0,0.0,70.0,78.0,0.0,58.0,37.0,73.0,85.0,35.0,11.0,87.0,0.0,70.0,0.0,68.0,29.0,26.0,38.0,12.0,53.0,0.0,19.0,64.0,111.0,47.0,51.0,111.0,18.0,78.0,114.0,109.0,0.0,75.0,37.0,58.0,60.0,29.0,72.0,81.0,23.0,62.0,97.0,71.0,0.0
1988-1989,15.0,44.0,10.0,33.0,41.0,28.0,0.0,29.0,35.0,77.0,48.0,11.0,2.0,37.0,15.0,34.0,1.0,68.0,41.0,0.0,17.0,29.0,99.0,12.0,0.0,12.0,24.0,61.0,0.0,81.0,8.0,69.0,106.0,0.0,34.0,21.0,24.0,73.0,35.0,8.0,34.0,21.0,13.0,84.0,27.0,0.0,28.0,0.0,28.0,0.0,3.0,15.0,5.0,80.0,17.0,102.0,74.0,13.0,6.0,44.0,0.0,35.0,59.0,44.0,57.0,26.0,0.0,28.0
1989-1990,35.0,86.0,7.0,28.0,0.0,0.0,15.0,34.0,15.0,8.0,1.0,0.0,15.0,10.0,14.0,16.0,54.0,11.0,2.0,0.0,40.0,41.0,7.0,0.0,0.0,17.0,36.0,16.0,17.0,0.0,0.0,23.0,24.0,0.0,0.0,45.0,36.0,41.0,20.0,0.0,2.0,0.0,23.0,0.0,38.0,0.0,22.0,8.0,62.0,23.0,9.0,3.0,0.0,40.0,23.0,7.0,16.0,0.0,0.0,31.0,15.0,13.0,0.0,0.0,0.0,45.0,14.0,72.0
1990-1991,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
