Realization,X2,X3,X4,X5,Xfactor1,x1,scenario,Policy,model,Y_results
0,1.855898,981.628808,0.454622,6.405709,4.076921,254.359109,2,4,UZHModel,42.691609
1,1.600516,1024.598483,0.5488,8.46709,5.407686,254.359109,3,4,UZHModel,73.74156574
2,1.339363,973.03991,0.401467,7.301361,7.514033,254.359109,4,4,UZHModel,56.84083045
3,1.442585,937.302521,0.476645,6.626032,8.613781,254.359109,5,4,UZHModel,47.40808824
4,1.138371,1084.672419,0.550099,5.598566,6.951834,254.359109,6,4,UZHModel,33.2774654
5,1.916579,1036.886692,0.505892,9.994882,5.837132,254.359109,7,4,UZHModel,103.3092561
6,1.637237,919.644603,0.437287,8.259041,9.273103,254.359109,8,4,UZHModel,74.70999135
7,1.031868,1068.972094,0.586581,9.130975,8.278667,254.359109,9,4,UZHModel,89.56487889
8,1.855898,981.628808,0.454622,6.405709,4.076921,293.412417,2,5,UZHModel,34.14684256
9,1.600516,1024.598483,0.5488,8.46709,5.407686,293.412417,3,5,UZHModel,64.45653114
10,1.339363,973.03991,0.401467,7.301361,7.514033,293.412417,4,5,UZHModel,46.57071799
11,1.442585,937.302521,0.476645,6.626032,8.613781,293.412417,5,5,UZHModel,36.30882353
12,1.138371,1084.672419,0.550099,5.598566,6.951834,293.412417,6,5,UZHModel,23.92906574
13,1.916579,1036.886692,0.505892,9.994882,5.837132,293.412417,7,5,UZHModel,87.85683391
14,1.637237,919.644603,0.437287,8.259041,9.273103,293.412417,8,5,UZHModel,60.89035467
15,1.031868,1068.972094,0.586581,9.130975,8.278667,293.412417,9,5,UZHModel,75.23529412
16,1.855898,981.628808,0.454622,6.405709,4.076921,276.679819,2,6,UZHModel,37.9824827
17,1.600516,1024.598483,0.5488,8.46709,5.407686,276.679819,3,6,UZHModel,71.08866782
18,1.339363,973.03991,0.401467,7.301361,7.514033,276.679819,4,6,UZHModel,52.14705882
19,1.442585,937.302521,0.476645,6.626032,8.613781,276.679819,5,6,UZHModel,41.82158304
20,1.138371,1084.672419,0.550099,5.598566,6.951834,276.679819,6,6,UZHModel,26.97923875
21,1.916579,1036.886692,0.505892,9.994882,5.837132,276.679819,7,6,UZHModel,96.26838235
22,1.637237,919.644603,0.437287,8.259041,9.273103,276.679819,8,6,UZHModel,66.68879758
23,1.031868,1068.972094,0.586581,9.130975,8.278667,276.679819,9,6,UZHModel,80.70588235
24,1.855898,981.628808,0.454622,6.405709,4.076921,267.151176,2,7,UZHModel,40.07028547
25,1.600516,1024.598483,0.5488,8.46709,5.407686,267.151176,3,7,UZHModel,72.44593426
26,1.339363,973.03991,0.401467,7.301361,7.514033,267.151176,4,7,UZHModel,53.63321799
27,1.442585,937.302521,0.476645,6.626032,8.613781,267.151176,5,7,UZHModel,43.58845156
28,1.138371,1084.672419,0.550099,5.598566,6.951834,267.151176,6,7,UZHModel,29.11267301
29,1.916579,1036.886692,0.505892,9.994882,5.837132,267.151176,7,7,UZHModel,100.3159602
30,1.637237,919.644603,0.437287,8.259041,9.273103,267.151176,8,7,UZHModel,71.05038927
31,1.031868,1068.972094,0.586581,9.130975,8.278667,267.151176,9,7,UZHModel,86.91500865
