ID,NAME,LAT,LONG,ELEVATION
1,45-7708333_9-0000000p,45.77,9,324.8
2,45-7916667_8-9375000p,45.79,8.94,403.5
3,45-7916667_8-9583333p,45.79,8.96,385.8
4,45-7916667_8-9791667p,45.79,8.98,363.5
5,45-7916667_9-0000000p,45.79,9,357.5
6,45-7916667_9-0208333p,45.79,9.02,336
7,45-7916667_9-0416667p,45.79,9.04,324
8,45-8125000_7-1041667p,45.81,7.1,2508
9,45-8125000_7-1250000p,45.81,7.13,2327
10,45-8125000_7-1458333p,45.81,7.15,2167.2
11,45-8125000_7-1666667p,45.81,7.17,1957
12,45-8125000_7-1875000p,45.81,7.19,1712.5
13,45-8125000_8-8958333p,45.81,8.9,398.8
14,45-8125000_8-9166667p,45.81,8.92,406.8
15,45-8125000_8-9375000p,45.81,8.94,384.2
16,45-8125000_8-9583333p,45.81,8.96,338.8
17,45-8125000_8-9791667p,45.81,8.98,325.5
18,45-8125000_9-0000000p,45.81,9,415
19,45-8125000_9-0208333p,45.81,9.02,381.5
20,45-8125000_9-0416667p,45.81,9.04,359.8
21,45-8125000_9-0625000p,45.81,9.06,290.5
22,45-8333333_7-0625000p,45.83,7.06,2834.8
23,45-8333333_7-0833333p,45.83,7.08,2760.5
24,45-8333333_7-1041667p,45.83,7.1,2373.5
25,45-8333333_7-1250000p,45.83,7.13,1857.5
26,45-8333333_7-1458333p,45.83,7.15,1826.5
27,45-8333333_7-1666667p,45.83,7.17,1625.2
28,45-8333333_7-1875000p,45.83,7.19,1563.5
29,45-8333333_7-2083333p,45.83,7.21,1424.8
30,45-8333333_7-2291667p,45.83,7.23,1429.5
31,45-8333333_7-2500000p,45.83,7.25,1914.2
32,45-8333333_8-8958333p,45.83,8.9,387
33,45-8333333_8-9166667p,45.83,8.92,404.2
34,45-8333333_8-9375000p,45.83,8.94,415.8
35,45-8333333_8-9583333p,45.83,8.96,384.5
36,45-8333333_8-9791667p,45.83,8.98,287
37,45-8333333_9-0000000p,45.83,9,409.5
38,45-8333333_9-0208333p,45.83,9.02,381.5
39,45-8333333_9-0416667p,45.83,9.04,355.8
40,45-8333333_9-0625000p,45.83,9.06,191.5
41,45-8333333_9-0833333p,45.83,9.08,520
42,45-8541667_7-0416667p,45.85,7.04,2398.5
43,45-8541667_7-0625000p,45.85,7.06,2487.2
44,45-8541667_7-0833333p,45.85,7.08,2803.8
45,45-8541667_7-1041667p,45.85,7.1,2661
46,45-8541667_7-1250000p,45.85,7.13,2385.8
47,45-8541667_7-1458333p,45.85,7.15,2069.2
48,45-8541667_7-1666667p,45.85,7.17,2044.5
49,45-8541667_7-1875000p,45.85,7.19,2291.8
50,45-8541667_7-2083333p,45.85,7.21,2163.5
51,45-8541667_7-2291667p,45.85,7.23,1835
52,45-8541667_7-2500000p,45.85,7.25,2614.2
53,45-8541667_7-2708333p,45.85,7.27,2198.2
54,45-8541667_7-2916667p,45.85,7.29,1621.2
55,45-8541667_7-3125000p,45.85,7.31,1813.5
56,45-8541667_7-3333333p,45.85,7.33,2047.2
57,45-8541667_7-3541667p,45.85,7.35,1931.5
58,45-8541667_7-3750000p,45.85,7.38,1393.2
59,45-8541667_7-3958333p,45.85,7.4,1915
60,45-8541667_8-8958333p,45.85,8.9,386
61,45-8541667_8-9166667p,45.85,8.92,386.2
62,45-8541667_8-9375000p,45.85,8.94,373.5
63,45-8541667_8-9583333p,45.85,8.96,347
64,45-8541667_8-9791667p,45.85,8.98,310.5
65,45-8541667_9-0000000p,45.85,9,299
66,45-8541667_9-0208333p,45.85,9.02,376.5
67,45-8541667_9-0416667p,45.85,9.04,518
68,45-8541667_9-0625000p,45.85,9.06,441.5
69,45-8541667_9-0833333p,45.85,9.08,187
70,45-8541667_9-1041667p,45.85,9.1,270
71,45-8750000_7-0208333p,45.88,7.02,2102
72,45-8750000_7-0416667p,45.88,7.04,1977.5
73,45-8750000_7-0625000p,45.88,7.06,2294.5
74,45-8750000_7-0833333p,45.88,7.08,2795
75,45-8750000_7-1041667p,45.88,7.1,2674
76,45-8750000_7-1250000p,45.88,7.13,2550.5
77,45-8750000_7-1458333p,45.88,7.15,2308
78,45-8750000_7-1666667p,45.88,7.17,2490
79,45-8750000_7-1875000p,45.88,7.19,2704.2
80,45-8750000_7-2083333p,45.88,7.21,2237.8
81,45-8750000_7-2291667p,45.88,7.23,2202
82,45-8750000_7-2500000p,45.88,7.25,2743
83,45-8750000_7-2708333p,45.88,7.27,2231.5
84,45-8750000_7-2916667p,45.88,7.29,1770
85,45-8750000_7-3125000p,45.88,7.31,2135.2
86,45-8750000_7-3333333p,45.88,7.33,2837.2
87,45-8750000_7-3541667p,45.88,7.35,2711
88,45-8750000_7-3750000p,45.88,7.38,1718
89,45-8750000_7-3958333p,45.88,7.4,1540
90,45-8750000_7-4166667p,45.88,7.42,1925
91,45-8750000_7-4375000p,45.88,7.44,2258.8
92,45-8750000_7-7083333p,45.88,7.71,1886.8
93,45-8750000_7-7291667p,45.88,7.73,1865
94,45-8750000_7-7500000p,45.88,7.75,2454.2
95,45-8750000_7-7708333p,45.88,7.77,2715.5
96,45-8750000_7-7916667p,45.88,7.79,2202.8
97,45-8750000_7-8125000p,45.88,7.81,2325.8
98,45-8750000_7-8333333p,45.88,7.83,2547.8
99,45-8750000_7-8541667p,45.88,7.85,2722
100,45-8750000_8-8750000p,45.88,8.88,382.8
101,45-8750000_8-8958333p,45.88,8.9,459.8
102,45-8750000_8-9166667p,45.88,8.92,453
103,45-8750000_8-9375000p,45.88,8.94,433.8
104,45-8750000_8-9583333p,45.88,8.96,344
105,45-8750000_8-9791667p,45.88,8.98,365.5
106,45-8750000_9-0000000p,45.88,9,534.2
107,45-8750000_9-0208333p,45.88,9.02,531.2
108,45-8750000_9-0416667p,45.88,9.04,889.8
109,45-8750000_9-0625000p,45.88,9.06,989.5
110,45-8750000_9-0833333p,45.88,9.08,553.5
111,45-8750000_9-1041667p,45.88,9.1,287
112,45-8958333_7-0000000p,45.9,7,3156.5
113,45-8958333_7-0208333p,45.9,7.02,2728.2
114,45-8958333_7-0416667p,45.9,7.04,2434
115,45-8958333_7-0625000p,45.9,7.06,2374.8
116,45-8958333_7-0833333p,45.9,7.08,2298
117,45-8958333_7-1041667p,45.9,7.1,2276.5
118,45-8958333_7-1250000p,45.9,7.13,2453.8
119,45-8958333_7-1458333p,45.9,7.15,2653.5
120,45-8958333_7-1666667p,45.9,7.17,2252.2
121,45-8958333_7-1875000p,45.9,7.19,2230
122,45-8958333_7-2083333p,45.9,7.21,2769.5
123,45-8958333_7-2291667p,45.9,7.23,2909.5
124,45-8958333_7-2500000p,45.9,7.25,3100.5
125,45-8958333_7-2708333p,45.9,7.27,2529.2
126,45-8958333_7-2916667p,45.9,7.29,2197
127,45-8958333_7-3125000p,45.9,7.31,2399
128,45-8958333_7-3333333p,45.9,7.33,2466
129,45-8958333_7-3541667p,45.9,7.35,2852.5
130,45-8958333_7-3750000p,45.9,7.38,2781.8
131,45-8958333_7-3958333p,45.9,7.4,2586
132,45-8958333_7-4166667p,45.9,7.42,2440
133,45-8958333_7-4375000p,45.9,7.44,1994.8
134,45-8958333_7-4583333p,45.9,7.46,1996.5
135,45-8958333_7-4791667p,45.9,7.48,2261.5
136,45-8958333_7-5000000p,45.9,7.5,2618
137,45-8958333_7-6666667p,45.9,7.67,2742.8
138,45-8958333_7-6875000p,45.9,7.69,2487
139,45-8958333_7-7083333p,45.9,7.71,2519.2
140,45-8958333_7-7291667p,45.9,7.73,2427
141,45-8958333_7-7500000p,45.9,7.75,2616.2
142,45-8958333_7-7708333p,45.9,7.77,3008.8
143,45-8958333_7-7916667p,45.9,7.79,2826.5
144,45-8958333_7-8125000p,45.9,7.81,2765.8
145,45-8958333_7-8333333p,45.9,7.83,3229
146,45-8958333_7-8541667p,45.9,7.85,3264
147,45-8958333_7-8750000p,45.9,7.88,2535.5
148,45-8958333_7-8958333p,45.9,7.9,1984.2
149,45-8958333_8-8541667p,45.9,8.85,630
150,45-8958333_8-8750000p,45.9,8.88,309.5
151,45-8958333_8-8958333p,45.9,8.9,502.2
152,45-8958333_8-9166667p,45.9,8.92,732
153,45-8958333_8-9375000p,45.9,8.94,640.2
154,45-8958333_8-9583333p,45.9,8.96,299
155,45-8958333_8-9791667p,45.9,8.98,596
156,45-8958333_9-0000000p,45.9,9,1005.5
157,45-8958333_9-0208333p,45.9,9.02,747.5
158,45-8958333_9-0416667p,45.9,9.04,661.5
159,45-8958333_9-0625000p,45.9,9.06,754.8
160,45-8958333_9-0833333p,45.9,9.08,1060.5
161,45-8958333_9-1041667p,45.9,9.1,1121
162,45-9166667_7-0000000p,45.92,7,3289.8
163,45-9166667_7-0208333p,45.92,7.02,3154.2
164,45-9166667_7-0416667p,45.92,7.04,3032.2
165,45-9166667_7-0625000p,45.92,7.06,2526.8
166,45-9166667_7-0833333p,45.92,7.08,2040.5
167,45-9166667_7-1041667p,45.92,7.1,1939.5
168,45-9166667_7-1250000p,45.92,7.13,2672.5
169,45-9166667_7-1458333p,45.92,7.15,2556.8
170,45-9166667_7-1666667p,45.92,7.17,2349.2
171,45-9166667_7-1875000p,45.92,7.19,1915
172,45-9166667_7-2083333p,45.92,7.21,2657
