"DATE","isOverSnowTotal"_CLMCOM-CCLM4-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-MIROC-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP26-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_ICTP-REGCM-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_KNMI-RACMO-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_KNMI-RACMO-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP26-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP45-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-CCCMA-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-CCCMA-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-CSIRO-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-CSIRO-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-GFDL-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-GFDL-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP85-pcp
1981-1982,290,291,281,281,283,284,285,287,287,289,280,291,289,286,286,286,285,285,282,289,289,285,284,285,289,289,289,291,291,291,287,287,287,289,289,290,289,289,277,277,291,291,292,290,290,290,285,285,287,287,287,287,287,290,290,290,290,291,291,291,289,289,287,287,287,291,291,291
1982-1983,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1983-1984,182,182,180,180,180,182,182,182,182,182,180,182,182,182,182,182,182,182,180,182,182,180,180,180,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,180,180,180,180,180,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
1984-1985,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1985-1986,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1986-1987,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1987-1988,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
1988-1989,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1989-1990,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1990-1991,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1991-1992,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
1992-1993,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1993-1994,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1994-1995,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1995-1996,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
1996-1997,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1997-1998,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1998-1999,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
1999-2000,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2000-2001,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2001-2002,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2002-2003,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2003-2004,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2004-2005,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2005-2006,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,180,180,180,181,181,181,180,180,180,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2006-2007,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2007-2008,182,182,179,179,179,182,182,182,182,182,179,182,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,179,179,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
2008-2009,181,181,179,179,179,181,181,181,181,181,179,180,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,180,180,180,180,181,181,181,181,181,181,180,180,179,179,179,179,179,180,180,180,180,180,180,180,181,181,181,181,181,180,180,180
2009-2010,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2010-2011,181,181,179,179,179,181,181,181,181,181,179,181,181,181,181,181,181,181,179,181,181,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,179,179,179,179,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2011-2012,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2012-2013,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2013-2014,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2014-2015,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2015-2016,182,182,179,179,179,182,182,182,182,182,179,181,182,182,182,182,182,182,179,182,182,179,179,179,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,181,182,182,182,182,182,182,181,181,179,179,179,179,179,181,181,181,181,181,181,181,182,182,182,182,182,181,181,181
2016-2017,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2017-2018,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
2018-2019,181,181,178,178,178,181,181,181,181,181,178,181,181,181,181,181,181,181,178,181,181,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,178,178,178,178,178,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
