"DATE","isOverSnowTotal"_CLMCOM-CCLM4-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_CLMCOM-CCLM4-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-MIROC-EUR44-RCP85-pcp,"isOverSnowTotal"_CLMCOM-CCLM5-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP26-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_DMI-HIRHAM-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_ICTP-REGCM-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_KNMI-RACMO-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_KNMI-RACMO-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP26-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP45-pcp,"isOverSnowTotal"_KNMI-RACMO-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO1-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_MPICSC-REMO2-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-CCCMA-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-CCCMA-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-CSIRO-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-CSIRO-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-ECEARTH-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-GFDL-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-GFDL-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-HADGEM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-IPSL-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MIROC-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR11-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR11-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-MPIESM-EUR44-RCP85-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP26-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP45-pcp,"isOverSnowTotal"_SMHI-RCA-NORESM-EUR44-RCP85-pcp
1981,354,355,344,344,346,348,349,351,351,353,343,355,353,350,350,350,349,349,345,353,353,348,347,348,353,353,353,355,355,355,351,351,351,353,353,354,353,353,341,341,355,355,356,354,354,354,349,349,350,350,350,350,350,354,354,354,354,355,355,353,353,353,351,351,351,355,355,355,353
1982,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1983,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,213
1984,366,366,360,360,360,366,366,366,366,366,360,365,366,366,366,366,366,366,360,366,366,360,360,360,366,366,366,366,366,366,366,366,366,366,366,366,365,365,365,365,366,366,366,366,366,366,365,365,360,360,360,360,360,365,365,365,365,365,365,365,366,366,366,366,366,365,365,365,212
1985,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1986,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1987,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1988,366,366,360,360,360,366,366,366,366,366,360,365,366,366,366,366,366,366,360,366,366,360,360,360,366,366,366,366,366,366,366,366,366,366,366,366,365,365,365,365,366,366,366,366,366,366,365,365,360,360,360,360,360,365,365,365,365,365,365,365,366,366,366,366,366,365,365,365,212
1989,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1990,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1991,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1992,366,366,360,360,360,366,366,366,366,366,360,365,366,366,366,366,366,366,360,366,366,360,360,360,366,366,366,366,366,366,366,366,366,366,366,366,365,365,365,365,366,366,366,366,366,366,365,365,360,360,360,360,360,365,365,365,365,365,365,365,366,366,366,366,366,365,365,365,212
1993,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1994,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1995,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1996,366,366,360,360,360,366,366,366,366,366,360,365,366,366,366,366,366,366,360,366,366,360,360,360,366,366,366,366,366,366,366,366,366,366,366,366,365,365,365,365,366,366,366,366,366,366,365,365,360,360,360,360,360,365,365,365,365,365,365,365,366,366,366,366,366,365,365,365,212
1997,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1998,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,212
1999,365,365,360,360,360,365,365,365,365,365,360,365,365,365,365,365,365,365,360,365,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,213
2000,366,366,360,360,360,366,366,366,366,366,360,365,366,366,366,366,366,366,360,366,366,360,360,360,366,366,366,366,366,366,366,366,366,366,366,366,365,365,365,365,366,366,366,366,366,366,365,365,360,360,360,360,360,365,365,365,365,365,365,365,366,366,366,366,366,365,365,365,212
