Scn1,Sc2,Sc3,sc4
19810101,19810101,19810101,19810101
0,0,0,0
4.49,7.66,11.23,2.33
0.29,7.55,23.11,4.33
0,0,0,2.55
0,0,12.2,4.66
0,0,0,0
0,0,0,6.66
0,55,22.34,5.76
0,5,5,5.66
0,5,21.22,5.66
0,5,5,7.56
5.38,5.38,2.02,45.33
0,0,0,0
0,5,5,5
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.19,0.19,0.19,0.19
2.26,2.26,2.26,2.26
0,0,0,0
0,0,0,0
0,0,0,0
3.32,3.32,3.32,3.32
0,0,0,0
0,0,0,0
0.61,0.61,0.61,0.61
0,0,0,0
0,0,0,0
2.29,2.29,2.29,2.29
0.11,0.11,0.11,0.11
0,0,0,0
0.2,0.2,0.2,0.2
2.09,2.09,2.09,2.09
0,0,0,0
0.39,0.39,0.39,0.39
0.62,0.62,0.62,0.62
0.5,0.5,0.5,0.5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.14,0.14,0.14,0.14
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5.87,5.87,5.87,5.87
5.21,5.21,5.21,5.21
3.36,3.36,3.36,3.36
0,0,0,0
0.47,0.47,0.47,0.47
7.25,7.25,7.25,7.25
3.49,3.49,3.49,3.49
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.33,0.33,0.33,0.33
11.81,11.81,11.81,11.81
8.85,8.85,8.85,8.85
1.5,1.5,1.5,1.5
7.93,7.93,7.93,7.93
4.43,4.43,4.43,4.43
1.74,1.74,1.74,1.74
0,0,0,0
5.6,5.6,5.6,5.6
7.99,7.99,7.99,7.99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5.49,5.49,5.49,5.49
25.82,25.82,25.82,25.82
1.93,1.93,1.93,1.93
0.8,0.8,0.8,0.8
0,0,0,0
0,0,0,0
5.63,5.63,5.63,5.63
10.99,10.99,10.99,10.99
7.25,7.25,7.25,7.25
0,0,0,0
1.21,1.21,1.21,1.21
2.14,2.14,2.14,2.14
0,0,0,0
0,0,0,0
2.28,2.28,2.28,2.28
0,0,0,0
14.71,14.71,14.71,14.71
9.27,9.27,9.27,9.27
0,0,0,0
0,0,0,0
0,0,0,0
13.68,13.68,13.68,13.68
0,0,0,0
4.11,4.11,4.11,4.11
4.28,4.28,4.28,4.28
0,0,0,0
2.27,2.27,2.27,2.27
-99,-99,-99,-99
5.78,5.78,5.78,5.78
2.88,2.88,2.88,2.88
5.49,5.49,5.49,5.49
4.48,4.48,4.48,4.48
0,0,0,0
0.28,0.28,0.28,0.28
0,0,0,0
0,0,0,0
0,0,0,0
2.51,2.51,2.51,2.51
1.25,1.25,1.25,1.25
2.21,2.21,2.21,2.21
4.2,4.2,4.2,4.2
0.1,0.1,0.1,0.1
0,0,0,0
0,0,0,0
9.18,9.18,9.18,9.18
5.72,5.72,5.72,5.72
3.49,3.49,3.49,3.49
19.24,19.24,19.24,19.24
27.41,27.41,27.41,27.41
3.68,3.68,3.68,3.68
21.19,21.19,21.19,21.19
18.76,18.76,18.76,18.76
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.27,1.27,1.27,1.27
7.28,7.28,7.28,7.28
5.6,5.6,5.6,5.6
7,7,7,7
10.68,10.68,10.68,10.68
0,0,0,0
21.97,21.97,21.97,21.97
19.19,19.19,19.19,19.19
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.84,2.84,2.84,2.84
4.61,4.61,4.61,4.61
0,0,0,0
0,0,0,0
4.53,4.53,4.53,4.53
7.69,7.69,7.69,7.69
1.44,1.44,1.44,1.44
1.5,1.5,1.5,1.5
17.8,17.8,17.8,17.8
0.28,0.28,0.28,0.28
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10.21,10.21,10.21,10.21
20.43,20.43,20.43,20.43
9.4,9.4,9.4,9.4
18.47,18.47,18.47,18.47
0,0,0,0
0,0,0,0
0.7,0.7,0.7,0.7
15.11,15.11,15.11,15.11
6.25,6.25,6.25,6.25
7.97,7.97,7.97,7.97
22.89,22.89,22.89,22.89
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8.73,8.73,8.73,8.73
16.61,16.61,16.61,16.61
19.47,19.47,19.47,19.47
15.47,15.47,15.47,15.47
9.4,9.4,9.4,9.4
30.18,30.18,30.18,30.18
18.98,18.98,18.98,18.98
8.59,8.59,8.59,8.59
10.78,10.78,10.78,10.78
5.23,5.23,5.23,5.23
0,0,0,0
7.42,7.42,7.42,7.42
0.1,0.1,0.1,0.1
1.99,1.99,1.99,1.99
0,0,0,0
0,0,0,0
0.32,0.32,0.32,0.32
0,0,0,0
16.13,16.13,16.13,16.13
0,0,0,0
0,0,0,0
2.5,2.5,2.5,2.5
16.27,16.27,16.27,16.27
0,0,0,0
0,0,0,0
0.44,0.44,0.44,0.44
6.05,6.05,6.05,6.05
4.67,4.67,4.67,4.67
17.85,17.85,17.85,17.85
32.71,32.71,32.71,32.71
1.06,1.06,1.06,1.06
0,0,0,0
3.35,3.35,3.35,3.35
0.12,0.12,0.12,0.12
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
4.71,4.71,4.71,4.71
6.34,6.34,6.34,6.34
0,0,0,0
0,0,0,0
20.49,20.49,20.49,20.49
0,0,0,0
0.73,0.73,0.73,0.73
0,0,0,0
0,0,0,0
6.13,6.13,6.13,6.13
2.18,2.18,2.18,2.18
0,0,0,0
0,0,0,0
0,0,0,0
0.11,0.11,0.11,0.11
4.69,4.69,4.69,4.69
0,0,0,0
12.83,12.83,12.83,12.83
0,0,0,0
0,0,0,0
4.89,4.89,4.89,4.89
0.64,0.64,0.64,0.64
19.75,19.75,19.75,19.75
42.95,42.95,42.95,42.95
46.32,46.32,46.32,46.32
9.48,9.48,9.48,9.48
9.6,9.6,9.6,9.6
0.79,0.79,0.79,0.79
0,0,0,0
4.27,4.27,4.27,4.27
1.11,1.11,1.11,1.11
0,0,0,0
0,0,0,0
0,0,0,0
0.18,0.18,0.18,0.18
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.92,3.92,3.92,3.92
23.91,23.91,23.91,23.91
0,0,0,0
0,0,0,0
0.25,0.25,0.25,0.25
0,0,0,0
0,0,0,0
0,0,0,0
4.45,4.45,4.45,4.45
0.6,0.6,0.6,0.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.12,2.12,2.12,2.12
0.7,0.7,0.7,0.7
7.68,7.68,7.68,7.68
5.45,5.45,5.45,5.45
0,0,0,0
0,0,0,0
1.82,1.82,1.82,1.82
6.24,6.24,6.24,6.24
0.76,0.76,0.76,0.76
0.68,0.68,0.68,0.68
0.7,0.7,0.7,0.7
0,0,0,0
0.5,0.5,0.5,0.5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.24,2.24,2.24,2.24
8.35,8.35,8.35,8.35
3.71,3.71,3.71,3.71
20.48,20.48,20.48,20.48
3.35,3.35,3.35,3.35
28.88,28.88,28.88,28.88
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9.64,9.64,9.64,9.64
46.37,46.37,46.37,46.37
51.49,51.49,51.49,51.49
8.33,8.33,8.33,8.33
4.03,4.03,4.03,4.03
22.02,22.02,22.02,22.02
14.35,14.35,14.35,14.35
43.48,43.48,43.48,43.48
19.77,19.77,19.77,19.77
0,0,0,0
0.2,0.2,0.2,0.2
1.95,1.95,1.95,1.95
0,0,0,0
1.34,1.34,1.34,1.34
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.6,1.6,1.6,1.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.27,1.27,1.27,1.27
0.96,0.96,0.96,0.96
3.78,3.78,3.78,3.78
3.68,3.68,3.68,3.68
3.17,3.17,3.17,3.17
1.89,1.89,1.89,1.89
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.18,1.18,1.18,1.18
0,0,0,0
2.08,2.08,2.08,2.08
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.63,0.63,0.63,0.63
2.14,2.14,2.14,2.14
0,0,0,0
0,0,0,0
0,0,0,0
5.1,5.1,5.1,5.1
1.87,1.87,1.87,1.87
9.85,9.85,9.85,9.85
3.72,3.72,3.72,3.72
14.35,14.35,14.35,14.35
23.09,23.09,23.09,23.09
2.14,2.14,2.14,2.14
2.18,2.18,2.18,2.18
4.69,4.69,4.69,4.69
0.11,0.11,0.11,0.11
0,0,0,0
1.34,1.34,1.34,1.34
0,0,0,0
0,0,0,0
0.97,0.97,0.97,0.97
0.2,0.2,0.2,0.2
0,0,0,0
0.21,0.21,0.21,0.21
0,0,0,0
2.11,2.11,2.11,2.11
0,0,0,0
2.06,2.06,2.06,2.06
1.05,1.05,1.05,1.05
6.81,6.81,6.81,6.81
26.85,26.85,26.85,26.85
8.1,8.1,8.1,8.1
0,0,0,0
3.81,3.81,3.81,3.81
0.12,0.12,0.12,0.12
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.36,0.36,0.36,0.36
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.11,4.11,4.11,4.11
3.12,3.12,3.12,3.12
15.31,15.31,15.31,15.31
16.77,16.77,16.77,16.77
2.44,2.44,2.44,2.44
0,0,0,0
0,0,0,0
3.97,3.97,3.97,3.97
-99,-99,-99,-99
1.32,1.32,1.32,1.32
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.22,4.22,4.22,4.22
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
