"DATE","isOverSnowTotal"_sc_26_1,"isOverSnowTotal"_sc_26_2,"isOverSnowTotal"_sc_26_3,"isOverSnowTotal"_sc_26_4,"isOverSnowTotal"_sc_26_5,"isOverSnowTotal"_sc_26_6,"isOverSnowTotal"_sc_26_7,"isOverSnowTotal"_sc_26_8,"isOverSnowTotal"_sc_26_9,"isOverSnowTotal"_sc_26_10,"isOverSnowTotal"_sc_26_11,"isOverSnowTotal"_sc_26_12,"isOverSnowTotal"_sc_45_1,"isOverSnowTotal"_sc_45_2,"isOverSnowTotal"_sc_45_3,"isOverSnowTotal"_sc_45_4,"isOverSnowTotal"_sc_45_5,"isOverSnowTotal"_sc_45_6,"isOverSnowTotal"_sc_45_7,"isOverSnowTotal"_sc_45_8,"isOverSnowTotal"_sc_45_9,"isOverSnowTotal"_sc_45_10,"isOverSnowTotal"_sc_45_11,"isOverSnowTotal"_sc_45_12,"isOverSnowTotal"_sc_45_13,"isOverSnowTotal"_sc_45_14,"isOverSnowTotal"_sc_45_15,"isOverSnowTotal"_sc_45_16,"isOverSnowTotal"_sc_45_17,"isOverSnowTotal"_sc_45_18,"isOverSnowTotal"_sc_45_19,"isOverSnowTotal"_sc_45_20,"isOverSnowTotal"_sc_45_21,"isOverSnowTotal"_sc_45_22,"isOverSnowTotal"_sc_45_23,"isOverSnowTotal"_sc_45_24,"isOverSnowTotal"_sc_45_25,"isOverSnowTotal"_sc_85_1,"isOverSnowTotal"_sc_85_2,"isOverSnowTotal"_sc_85_3,"isOverSnowTotal"_sc_85_4,"isOverSnowTotal"_sc_85_5,"isOverSnowTotal"_sc_85_6,"isOverSnowTotal"_sc_85_7,"isOverSnowTotal"_sc_85_8,"isOverSnowTotal"_sc_85_9,"isOverSnowTotal"_sc_85_10,"isOverSnowTotal"_sc_85_11,"isOverSnowTotal"_sc_85_12,"isOverSnowTotal"_sc_85_13,"isOverSnowTotal"_sc_85_14,"isOverSnowTotal"_sc_85_15,"isOverSnowTotal"_sc_85_16,"isOverSnowTotal"_sc_85_17,"isOverSnowTotal"_sc_85_18,"isOverSnowTotal"_sc_85_19,"isOverSnowTotal"_sc_85_20,"isOverSnowTotal"_sc_85_21,"isOverSnowTotal"_sc_85_22,"isOverSnowTotal"_sc_85_23,"isOverSnowTotal"_sc_85_24,"isOverSnowTotal"_sc_85_25,"isOverSnowTotal"_sc_85_26,"isOverSnowTotal"_sc_85_27,"isOverSnowTotal"_sc_85_28,"isOverSnowTotal"_sc_85_29,"isOverSnowTotal"_sc_85_30,"isOverSnowTotal"_sc_85_31
1981,347,355,349,349,353,355,357,352,357,355,351,353,355,352,351,351,349,351,352,347,355,345,348,352,354,351,339,354,353,351,356,352,353,353,353,354,350,354,352,349,349,357,347,354,351,353,344,346,354,344,339,356,350,344,356,354,347,349,350,357,344,357,355,355,354,351,352,351
1982,365,365,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,365,360,365,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,360,365,365,365,365,360,365,360,360,360,365,365,365,365,365,365,365,365,365,365,365
1983,365,365,365,360,365,365,365,365,360,365,365,365,365,365,365,365,365,365,360,365,365,360,365,360,365,365,365,365,365,365,365,365,365,360,365,365,365,360,365,360,365,365,365,365,365,360,365,365,365,365,365,365,365,365,360,365,365,360,360,365,365,365,360,365,365,365,365,365
1984,365,360,366,366,366,366,365,360,366,366,366,366,366,366,366,366,366,365,366,360,365,360,360,365,365,365,366,366,366,360,366,366,366,365,366,365,366,366,366,365,360,365,366,365,366,365,366,366,360,366,366,360,366,360,360,365,366,366,366,365,365,366,360,366,366,360,366,365
1985,360,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,360,360,360,360,365,365,365,365,365,365
1986,365,365,365,365,365,365,365,360,360,365,365,365,360,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365,360,365,365,360,365,365,365,365,365,365,365,365,360,365,365,365,365,360,360,360,365,365,365,365,360,360,365,365,365,365,365,365,365
1987,365,360,365,365,365,360,365,365,365,365,365,365,365,365,365,365,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,365,365,365,365,360,365,365,360,365,365,365,365,365,365,360,365,360,365,365,365,360,360,360,365,365,365
1988,366,365,360,366,366,366,365,366,360,366,366,366,366,365,360,365,366,365,366,366,366,366,366,365,365,360,366,365,366,365,360,366,360,366,366,366,366,366,365,366,360,360,366,366,366,360,365,365,360,366,365,366,366,366,365,366,366,366,365,366,366,366,360,360,366,360,365,365
1989,360,365,365,365,360,365,365,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,365,360,365,365,365,365,360,365,365,360,365,365,360,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,360,365
1990,365,365,365,365,365,365,365,360,365,360,365,365,365,365,365,360,360,365,365,365,360,365,365,365,365,365,360,365,365,365,365,365,365,365,365,365,365,360,360,365,365,365,365,365,365,360,365,360,360,365,360,365,365,365,365,365,365,365,365,365,365,365,365,365,365,360,365,365
